,id,text_tweet,sentiment_score,sentiment_label,sentiment_language,user_profile
1109,1289782987236802562,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,_juuuu16
1116,1289784826128502784,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,pamela_bjj
1130,1289791027230859264,RT @gayshaking: Quando eu for mãe vou comprar roupa de ursinho e dinossauro pra ver meus filhos pela casa vestindo elas,0.812491,positive,pt,rebelgayheart
1147,1289797152017793024,Eu não me dou descanso mesmo né? Acabei de comprar um app que organiza meus looks de acordo com meu guarda-roupa ❤️ Amei kkk #patricinha #whitepeopleproblems #sos https://t.co/5ewGdKe8LX,0.854486,positive,pt,lucas_edward
1175,1289813699289522176,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,ChelseaRafael3
1192,1289827077273686017,Vou comprar um monte te roupa nova,0.843476,positive,pt,lukevagabunda
1198,1289833934751113216,RT @gayshaking: Quando eu for mãe vou comprar roupa de ursinho e dinossauro pra ver meus filhos pela casa vestindo elas,0.812491,positive,pt,parrillabody
1211,1289844103350374401,sifude vou comprar roupa de cosplay,0.876905,positive,pt,ticiaxsxo
1215,1289848732083605506,comprar roupa me deixa tão feliz,0.947766,positive,pt,AwrgCatra
1219,1289850982185046016,RT @mouta75: Comprar roupa é uma das cenas que me deixa bué feliz neste momento,0.938942,positive,pt,Lipasilva13
1226,1289856955482279938,"Nunca senti tanto orgulho como senti ontem de mim, quando descobrir que voltei a comprar roupa tamanho ""P""",0.81732,positive,pt,RhayLima9
1230,1289860301324578817,RT @mouta75: Comprar roupa é uma das cenas que me deixa bué feliz neste momento,0.938942,positive,pt,Jorge68669772
1260,1289885939662065664,Meu hobbie favorito é comprar roupa,0.953517,positive,pt,pedr0miguel17
1276,1289894970954928131,"ataaaaa 😂

[02/08/2020 06:07:19] Amor ❤️: Te amooo demais ❤️
 [02/08/2020 06:07:29] Amor ❤️: Você vai ganhar muito dinheiro com isso
 [02/08/2020 06:07:39] Amor ❤️: E vai comprar muita roupa do Vasco pra mim 😂😂😂
 [02/08/2020 08:22:20] Amor ❤️: Quero um carro e 2 lojas também",0.999978,positive,pt,amanciolari1
1278,1289896252226691072,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,CuambeLourdes
1306,1289907059530412033,RT @gayshaking: Quando eu for mãe vou comprar roupa de ursinho e dinossauro pra ver meus filhos pela casa vestindo elas,0.812491,positive,pt,nalitche
1309,1289907442239774726,"@Empadua clube das pessoas que amam comprar roupa nova, mas sempre usam o mesmo look confortável que sempre dá certo",0.960871,positive,pt,brunorgy
1310,1289908075457949702,RT @ttasilva_: Comprar roupa é bom dms,0.938222,positive,pt,Carolzinha10_10
1360,1289923512933572610,"Mano se tem uma coisa q eu real não ligo na minha vida é roupa tlgd, eu acho legal até tipo essas coleções de tênis que vcs fazem e etc pq tem condição e tudo bem cada um faz oq quiser com seu dinheiro, só que por exemplo minha mãe falou ali agora de comprar dois Air max +",0.874206,positive,pt,Maiiiiiiiiiisa
1370,1289925479042957314,"@felipefunare_ To torcendo pra que isso aconteça... to separando o dinheiro para comida, roupas (espero comprar uma quantidade boa pra mim), ingressos e presentes",0.910149,positive,pt,m_almeidab
